MovieID,Title,Year,Genres,Language,Country,Total Views
9,Sudden Death (1995),1995,Action,Spanish,UK,3943
20,Money Train (1995),1995,Action,German,UK,13604
71,Fair Game (1995),1995,Action,Italian,France,3878
145,Bad Boys (1995),1995,Action,English,Italy,72607
204,Under Siege 2: Dark Territory (1995),1995,Action,Italian,Italy,81932
227,Drop Zone (1994),1994,Action,German,Italy,66427
251,"Hunted, The (1995)",1995,Action,English,Canada,61079
315,"Specialist, The (1994)",1994,Action,Italian,India,56926
384,Bad Company (1995),1995,Action,English,Canada,91941
393,Street Fighter (1994),1994,Action,Italian,Italy,67143
394,Coldblooded (1995),1995,Action,German,UK,8536
459,"Getaway, The (1994)",1994,Action,Spanish,Italy,79459
479,Judgment Night (1993),1993,Action,German,France,84054
533,"Shadow, The (1994)",1994,Action,German,USA,20860
544,Striking Distance (1993),1993,Action,Italian,Canada,72594
548,Terminal Velocity (1994),1994,Action,German,UK,31303
667,Bloodsport 2 (1995),1995,Action,French,India,29491
694,"Substitute, The (1996)",1996,Action,Italian,Italy,98682
876,Police Story 4: Project S (Chao ji ji hua) (1993),1993,Action,Italian,Italy,64083
886,Bulletproof (1996),1996,Action,Italian,Italy,32332
980,In the Line of Duty 2 (1987),1987,Action,Spanish,Canada,69027
1102,American Strays (1996),1996,Action,French,Italy,68824
1110,Bird of Prey (1996),1996,Action,Spanish,USA,81724
1170,Best of the Best 3: No Turning Back (1995),1995,Action,English,UK,55629
1181,"Shooter, The (1995)",1995,Action,German,France,19445
1364,Zero Kelvin (Kjærlighetens kjøtere) (1995),1995,Action,Spanish,France,60151
1385,Under Siege (1992),1992,Action,Italian,USA,29838
1424,Inside (1996),1996,Action,English,India,3312
1429,Jackie Chan's First Strike (1996),1996,Action,Italian,USA,12748
1432,Metro (1997),1997,Action,Spanish,Canada,54187
1434,"Stranger, The (1994)",1994,Action,English,France,25994
1497,Double Team (1997),1997,Action,English,UK,71208
1599,Steel (1997),1997,Action,French,Canada,17807
2196,Knock Off (1998),1998,Action,English,France,47992
2258,Master Ninja I (1984),1984,Action,German,USA,89781
2347,"Pope of Greenwich Village, The (1984)",1984,Action,English,Canada,22748
2376,"View to a Kill, A (1985)",1985,Action,Spanish,USA,92473
2403,First Blood (1982),1982,Action,Spanish,Italy,25047
2534,Avalanche (1978),1978,Action,English,UK,20935
2535,Earthquake (1974),1974,Action,Italian,France,34969
2625,Black Mask (Hak hap) (1996),1996,Action,Italian,France,58563
2737,Assassination (1987),1987,Action,Spanish,Italy,56580
2756,Wanted: Dead or Alive (1987),1987,Action,Italian,India,32643
2947,Goldfinger (1964),1964,Action,Italian,UK,74200
2948,From Russia with Love (1963),1963,Action,English,India,29455
2949,Dr. No (1962),1962,Action,German,Italy,75393
2965,"Omega Code, The (1999)",1999,Action,Italian,India,7888
2989,For Your Eyes Only (1981),1981,Action,Spanish,Canada,67899
2990,Licence to Kill (1989),1989,Action,German,France,84765
